Prénoms 2010;Nombre;Prénoms 2009;Nombre;Prénoms 2008;Nombre;Prénoms 2007;Nombre;Prénoms 2006;Nombre;Prénoms 2005;Nombre;Prénoms 2004;Nombre
Gabriel;398;Gabriel;350;Gabriel;316;Gabriel;313;Raphaël;314;Alexandre;329;Alexandre;319
Louise;335;Louise;322;Louise;288;Raphaël;303;Alexandre;309;Inès;282;Paul;294
Arthur;302;Raphaël;299;Raphaël;280;Alexandre;298;Camille;287;Emma;274;Thomas;286
Raphaël;298;Alexandre;286;Adam;271;Louise;265;Gabriel;285;Raphaël;269;Raphaël;280
Adam;295;Adam;279;Chloé;270;Paul;257;Emma;282;Arthur;261;Camille;275
Louis;272;Paul;274;Arthur;267;Louis;256;Thomas;259;Paul;248;Inès;268
Alexandre;267;Camille;273;Camille;265;Emma;246;Inès;255;Antoine;245;Emma;265
Chloé;258;Chloé;264;Alexandre;260;Adam;243;Louis;247;Gabriel;239;Gabriel;252
Camille;253;Arthur;258;Emma;255;Arthur;241;Antoine;243;Camille;238;Antoine;248
Paul;252;Louis;257;Louis;254;Camille;232;Paul;243;Thomas;225;Louis;237
Emma;250;Maxime;246;Paul;242;Chloé;220;Sarah;232;Sarah;221;Victor;226
Sarah;246;Emma;239;Sarah;241;Thomas;218;Arthur;225;Clara;215;Maxime;223
Maxime;222;Antoine;226;Inès;227;Jules;216;Louise;218;Jules;209;Hugo;210
Victor;219;Sarah;225;Antoine;220;Sarah;214;Adam;218;Louis;207;Louise;206
Alice;213;Lucas;221;Maxime;213;Lucas;214;Chloé;215;Léa;197;Sarah;204
Inès;207;Inès;216;Thomas;211;Antoine;211;Maxime;199;Lucas;197;Marie;204
Eva;199;Victor;207;Victor;207;Inès;199;Léa;184;Louise;195;Arthur;203
Jeanne;192;Alice;202;Léa;192;Nathan;193;Clara;184;Alice;193;Léa;195
Lucas;186;Jules;199;Lucas;192;Jeanne;192;Victor;184;Chloé;192;Clara;195
Antoine;185;Nathan;181;Jules;190;Maxime;192;Nathan;180;Mathilde;190;Alice;193
Nathan;178;Léa;179;Jeanne;175;Alice;190;Marie;177;Enzo;188;Lucas;189
Léa;175;Thomas;175;Sacha;171;Sacha;184;Enzo;169;Adam;187;Jules;187
Sacha;172;Juliette;175;Juliette;166;Victor;181;Lucas;168;Maxime;181;Chloé;184
Lina;169;Jeanne;172;Nathan;159;Eva;165;Jules;161;Jeanne;179;Enzo;180
Jules;168;Mohamed;169;Eva;157;Léa;161;Jeanne;159;Marie;177;Manon;173
Thomas;168;Eva;162;Martin;150;Enzo;160;Adrien;159;Clément;174;Juliette;170
Juliette;165;Hugo;161;Clément;148;Hugo;158;Eva;157;Victor;173;Adam;169
Anna;161;Enzo;160;Charlotte;145;Lucie;156;Hugo;157;Hugo;161;Nicolas;163
